complaint_id,category,subcategory,description,incident_date,date_reported,district,district_code,area,pincode,user_address,status,resolution_time,severity
4737,Public Transport,Irregular Metro Services,"As a college student in Basti, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The local news channel even covered this issue, yet no action.",2020-06-12,2020-11-13,Basti,UP20,Area 4,225494,"15, Colony Road, Area 4, Basti, 225494",In Progress,,High
4738,Corruption,Bribery,"In Varanasi, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Even after assurances from the authorities, nothing has changed.",2015-04-13,2015-10-04,Varanasi,UP03,Area 5,276594,"99, Main Street, Area 5, Varanasi, 276594",Pending,,High
4739,Road Maintenance,Blocked Drainage,"As a taxi driver in Kanpur, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. The local news channel even covered this issue, yet no action.",2019-11-09,2019-12-13,Kanpur,UP02,Area 4,219562,"192, Bazaar Road, Area 4, Kanpur, 219562",Pending,,Medium
4740,Water Supply,No Water Supply,"In Mathura, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. We demand an immediate resolution before things get worse.",2014-05-04,2014-10-28,Mathura,UP17,Area 3,243423,"57, Colony Road, Area 3, Mathura, 243423",Resolved,6.0,Medium
4741,Water Supply,Contaminated Water,"In Allahabad, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. Despite multiple complaints, no action has been taken.",2019-05-01,2019-05-03,Allahabad,UP04,Area 1,251307,"9, Bazaar Road, Area 1, Allahabad, 251307",Pending,,High
4742,Electricity Issue,Voltage Fluctuation,"I live in Varanasi, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? The local authorities visited once but didn't resolve the issue.",2018-08-11,2018-10-27,Varanasi,UP03,Area 2,254080,"29, Main Street, Area 2, Varanasi, 254080",Resolved,58.0,High
4743,Public Transport,Poor Bus Condition,"As a college student in Agra, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. This problem has been ongoing for months with no proper solution.",2022-07-09,2022-09-08,Agra,UP06,Area 5,207073,"38, Main Street, Area 5, Agra, 207073",Pending,,High
4744,Road Maintenance,Potholes,"I commute daily in Meerut, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! People have started protesting due to this persistent problem.",2021-09-01,2021-11-15,Meerut,UP07,Area 5,280287,"23, Colony Road, Area 5, Meerut, 280287",In Progress,,Low
4745,Corruption,Land Registration Scam,I had to pay a bribe of ₹2000 to get my land documents processed in Faizabad. Why should honest citizens have to pay extra just to get their rights? Children and elderly people are severely affected due to this issue.,2018-05-29,2018-09-07,Faizabad,UP14,Area 5,203140,"22, Main Street, Area 5, Faizabad, 203140",Resolved,9.0,Medium
4746,Road Maintenance,Blocked Drainage,"The main road connecting our village to Aligarh city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. Even after assurances from the authorities, nothing has changed.",2023-09-07,2024-02-29,Aligarh,UP12,Area 1,245612,"171, Bazaar Road, Area 1, Aligarh, 245612",Resolved,36.0,Low
4747,Road Maintenance,Potholes,"As a taxi driver in Mathura, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. Children and elderly people are severely affected due to this issue.",2014-10-09,2014-12-22,Mathura,UP17,Area 3,276985,"161, Colony Road, Area 3, Mathura, 276985",Resolved,59.0,High
4748,Electricity Issue,Meter Fault,"As a shop owner in Meerut, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. The local news channel even covered this issue, yet no action.",2020-03-25,2020-05-19,Meerut,UP07,Area 3,297652,"191, Bazaar Road, Area 3, Meerut, 297652",In Progress,,Low
4749,Public Transport,Fare Overcharging,"As a college student in Basti, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The situation is worsening each day, and we need urgent help.",2022-02-15,2022-04-07,Basti,UP20,Area 1,248028,"139, Main Street, Area 1, Basti, 248028",In Progress,,Medium
4750,Water Supply,Pipeline Leakage,"I am a resident of Gorakhpur, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. This problem has been ongoing for months with no proper solution.",2017-03-25,2017-04-02,Gorakhpur,UP05,Area 2,270628,"139, Colony Road, Area 2, Gorakhpur, 270628",Resolved,47.0,Low
4751,Corruption,Bribery,"In Faizabad, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. This problem has been ongoing for months with no proper solution.",2014-08-14,2014-08-25,Faizabad,UP14,Area 5,233251,"123, Colony Road, Area 5, Faizabad, 233251",Resolved,22.0,Low
4752,Crime,Robbery,"There have been multiple thefts in our colony in Mathura in the last month. People are scared, and yet there is no police patrolling. The situation is worsening each day, and we need urgent help.",2018-11-11,2019-03-27,Mathura,UP17,Area 1,290901,"55, Main Street, Area 1, Mathura, 290901",In Progress,,Low
4753,Public Transport,Overcrowded Buses,"As a college student in Moradabad, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The local authorities visited once but didn't resolve the issue.",2016-11-20,2017-02-24,Moradabad,UP13,Area 1,211359,"44, Colony Road, Area 1, Moradabad, 211359",In Progress,,Low
4754,Water Supply,No Water Supply,"I am a resident of Allahabad, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. We demand an immediate resolution before things get worse.",2024-05-30,2024-08-31,Allahabad,UP04,Area 3,298284,"106, Main Street, Area 3, Allahabad, 298284",In Progress,,Low
4755,Public Transport,Overcrowded Buses,"Public buses in Allahabad are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? The situation is worsening each day, and we need urgent help.",2023-04-20,2023-08-29,Allahabad,UP04,Area 5,232758,"3, Colony Road, Area 5, Allahabad, 232758",Pending,,Medium
4756,Crime,Chain Snatching,Chain snatching is increasing in Meerut. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. The local authorities visited once but didn't resolve the issue.,2021-01-18,2021-03-24,Meerut,UP07,Area 1,281870,"109, Colony Road, Area 1, Meerut, 281870",Resolved,11.0,High
4757,Public Transport,Poor Bus Condition,"As a college student in Noida, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. Despite multiple complaints, no action has been taken.",2014-10-14,2015-02-09,Noida,UP10,Area 5,235748,"185, Bazaar Road, Area 5, Noida, 235748",Resolved,6.0,Low
4758,Crime,Theft,"Cyber fraud is rampant in Gorakhpur. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. This problem has been ongoing for months with no proper solution.",2021-07-22,2021-09-05,Gorakhpur,UP05,Area 3,235366,"160, Main Street, Area 3, Gorakhpur, 235366",In Progress,,Medium
4759,Corruption,Fraud in Public Distribution,I had to pay a bribe of ₹2000 to get my land documents processed in Ghaziabad. Why should honest citizens have to pay extra just to get their rights? Other residents in my locality are also facing similar issues.,2016-12-04,2017-05-20,Ghaziabad,UP11,Area 3,284916,"35, Bazaar Road, Area 3, Ghaziabad, 284916",Resolved,52.0,Medium
4760,Corruption,Bribery,"In Rampur, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. This problem has been ongoing for months with no proper solution.",2014-11-20,2015-04-25,Rampur,UP18,Area 2,283407,"200, Bazaar Road, Area 2, Rampur, 283407",In Progress,,Low
4761,Public Transport,Poor Bus Condition,I missed an important job interview because the bus from Mathura to the city was canceled last minute. We need better transport reliability! The local authorities visited once but didn't resolve the issue.,2020-07-17,2020-12-29,Mathura,UP17,Area 2,235795,"31, Main Street, Area 2, Mathura, 235795",Resolved,43.0,High
4762,Corruption,Fraud in Public Distribution,"In Basti, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. We demand an immediate resolution before things get worse.",2019-07-26,2020-01-04,Basti,UP20,Area 1,215767,"57, Colony Road, Area 1, Basti, 215767",Pending,,High
4763,Public Transport,Fare Overcharging,"I missed an important job interview because the bus from Firozabad to the city was canceled last minute. We need better transport reliability! Even after assurances from the authorities, nothing has changed.",2015-08-20,2016-01-26,Firozabad,UP15,Area 2,289396,"173, Colony Road, Area 2, Firozabad, 289396",Resolved,14.0,High
4764,Electricity Issue,Meter Fault,"As a shop owner in Mathura, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. Children and elderly people are severely affected due to this issue.",2020-12-02,2021-01-05,Mathura,UP17,Area 5,214307,"71, Main Street, Area 5, Mathura, 214307",Resolved,30.0,High
4765,Public Transport,Poor Bus Condition,"As a college student in Muzaffarnagar, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The situation is worsening each day, and we need urgent help.",2020-03-14,2020-03-20,Muzaffarnagar,UP19,Area 3,259218,"78, Colony Road, Area 3, Muzaffarnagar, 259218",Resolved,50.0,Medium
4766,Electricity Issue,Billing Issue,"In Rampur, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. People have started protesting due to this persistent problem.",2024-05-14,2024-08-04,Rampur,UP18,Area 5,245368,"120, Bazaar Road, Area 5, Rampur, 245368",In Progress,,High
4767,Public Transport,Overcrowded Buses,"Public buses in Mathura are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? The local news channel even covered this issue, yet no action.",2016-11-10,2017-01-24,Mathura,UP17,Area 5,287749,"11, Main Street, Area 5, Mathura, 287749",In Progress,,Low
4768,Road Maintenance,Unfinished Roadwork,"I commute daily in Rampur, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! This problem has been ongoing for months with no proper solution.",2014-05-01,2014-09-01,Rampur,UP18,Area 2,275110,"86, Main Street, Area 2, Rampur, 275110",Resolved,17.0,High
4769,Public Transport,Irregular Metro Services,"As a college student in Ghaziabad, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. Even after assurances from the authorities, nothing has changed.",2016-10-23,2017-02-21,Ghaziabad,UP11,Area 5,252169,"133, Bazaar Road, Area 5, Ghaziabad, 252169",Pending,,Low
4770,Crime,Cyber Crime,"There have been multiple thefts in our colony in Meerut in the last month. People are scared, and yet there is no police patrolling. People have started protesting due to this persistent problem.",2019-08-29,2019-09-25,Meerut,UP07,Area 5,224914,"82, Bazaar Road, Area 5, Meerut, 224914",Resolved,30.0,Medium
4771,Crime,Chain Snatching,"Cyber fraud is rampant in Basti. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. Despite multiple complaints, no action has been taken.",2024-08-07,2025-01-15,Basti,UP20,Area 5,238401,"146, Bazaar Road, Area 5, Basti, 238401",Resolved,20.0,Medium
4772,Water Supply,Contaminated Water,"I am a resident of Moradabad, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. The local authorities visited once but didn't resolve the issue.",2019-06-06,2019-09-26,Moradabad,UP13,Area 1,200485,"1, Bazaar Road, Area 1, Moradabad, 200485",In Progress,,Medium
4773,Corruption,Land Registration Scam,"In Meerut, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. We demand an immediate resolution before things get worse.",2014-04-07,2014-08-13,Meerut,UP07,Area 4,216513,"34, Colony Road, Area 4, Meerut, 216513",In Progress,,Medium
4774,Water Supply,Pipeline Leakage,We haven't had running water in Aligarh for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? People have started protesting due to this persistent problem.,2016-07-19,2016-11-03,Aligarh,UP12,Area 4,265538,"96, Colony Road, Area 4, Aligarh, 265538",Pending,,Medium
4775,Corruption,Land Registration Scam,"In Rampur, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. This problem has been ongoing for months with no proper solution.",2018-06-22,2018-09-30,Rampur,UP18,Area 2,276922,"18, Bazaar Road, Area 2, Rampur, 276922",In Progress,,Medium
4776,Public Transport,Overcrowded Buses,I missed an important job interview because the bus from Kanpur to the city was canceled last minute. We need better transport reliability! People have started protesting due to this persistent problem.,2018-08-25,2018-11-15,Kanpur,UP02,Area 4,253067,"4, Bazaar Road, Area 4, Kanpur, 253067",Pending,,Low
4777,Road Maintenance,Unfinished Roadwork,"I commute daily in Agra, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! This problem has been ongoing for months with no proper solution.",2022-01-27,2022-05-10,Agra,UP06,Area 5,278391,"192, Bazaar Road, Area 5, Agra, 278391",Pending,,High
4778,Water Supply,No Water Supply,"I am a resident of Aligarh, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. The situation is worsening each day, and we need urgent help.",2015-02-03,2015-02-24,Aligarh,UP12,Area 5,279179,"9, Bazaar Road, Area 5, Aligarh, 279179",Pending,,Medium
4779,Public Transport,Fare Overcharging,"Public buses in Muzaffarnagar are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? The local news channel even covered this issue, yet no action.",2016-03-05,2016-03-29,Muzaffarnagar,UP19,Area 1,252316,"20, Colony Road, Area 1, Muzaffarnagar, 252316",Resolved,44.0,High
4780,Water Supply,Contaminated Water,"I am a resident of Bareilly, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. Despite multiple complaints, no action has been taken.",2018-08-08,2018-11-26,Bareilly,UP08,Area 3,281988,"26, Main Street, Area 3, Bareilly, 281988",Pending,,High
4781,Electricity Issue,Power Outage,"In Bareilly, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. The local authorities visited once but didn't resolve the issue.",2015-02-18,2015-04-26,Bareilly,UP08,Area 5,298475,"118, Colony Road, Area 5, Bareilly, 298475",Resolved,23.0,Medium
4782,Water Supply,Low Pressure,We haven't had running water in Muzaffarnagar for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? This problem has been ongoing for months with no proper solution.,2021-11-18,2022-01-03,Muzaffarnagar,UP19,Area 4,224669,"42, Colony Road, Area 4, Muzaffarnagar, 224669",Resolved,57.0,Low
4783,Road Maintenance,Potholes,"I commute daily in Allahabad, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! Despite multiple complaints, no action has been taken.",2018-07-25,2018-09-03,Allahabad,UP04,Area 3,232155,"88, Main Street, Area 3, Allahabad, 232155",Resolved,43.0,High
4784,Corruption,Land Registration Scam,"I had to pay a bribe of ₹2000 to get my land documents processed in Aligarh. Why should honest citizens have to pay extra just to get their rights? The local news channel even covered this issue, yet no action.",2021-02-05,2021-05-31,Aligarh,UP12,Area 5,271110,"147, Main Street, Area 5, Aligarh, 271110",Pending,,Low
4785,Corruption,Fraud in Public Distribution,"In Noida, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Other residents in my locality are also facing similar issues.",2019-12-02,2019-12-25,Noida,UP10,Area 5,204402,"89, Main Street, Area 5, Noida, 204402",In Progress,,Low
4786,Water Supply,Contaminated Water,"We haven't had running water in Basti for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? The situation is worsening each day, and we need urgent help.",2023-07-05,2023-11-20,Basti,UP20,Area 2,228528,"71, Colony Road, Area 2, Basti, 228528",Resolved,34.0,High
4787,Electricity Issue,Voltage Fluctuation,"As a shop owner in Moradabad, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. The local news channel even covered this issue, yet no action.",2018-03-17,2018-06-15,Moradabad,UP13,Area 4,254141,"16, Bazaar Road, Area 4, Moradabad, 254141",In Progress,,Low
4788,Road Maintenance,Road Safety Issues,"As a taxi driver in Gorakhpur, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. This problem has been ongoing for months with no proper solution.",2020-06-24,2020-11-16,Gorakhpur,UP05,Area 2,234512,"6, Main Street, Area 2, Gorakhpur, 234512",Pending,,High
4789,Corruption,Land Registration Scam,"In Mathura, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. We demand an immediate resolution before things get worse.",2024-10-04,2025-03-18,Mathura,UP17,Area 3,294222,"124, Colony Road, Area 3, Mathura, 294222",Resolved,18.0,Medium
4790,Water Supply,No Water Supply,We haven't had running water in Moradabad for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Children and elderly people are severely affected due to this issue.,2024-01-17,2024-03-28,Moradabad,UP13,Area 5,282106,"107, Main Street, Area 5, Moradabad, 282106",Pending,,High
4791,Crime,Chain Snatching,"Chain snatching is increasing in Faizabad. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Despite multiple complaints, no action has been taken.",2021-01-16,2021-07-15,Faizabad,UP14,Area 3,216623,"2, Main Street, Area 3, Faizabad, 216623",In Progress,,Low
4792,Electricity Issue,Billing Issue,"In Gorakhpur, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. Even after assurances from the authorities, nothing has changed.",2019-03-19,2019-04-30,Gorakhpur,UP05,Area 5,218126,"85, Main Street, Area 5, Gorakhpur, 218126",In Progress,,Medium
4793,Public Transport,Poor Bus Condition,"Public buses in Kanpur are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? Even after assurances from the authorities, nothing has changed.",2014-07-30,2015-01-20,Kanpur,UP02,Area 3,279819,"82, Main Street, Area 3, Kanpur, 279819",Resolved,42.0,Low
4794,Corruption,Bribery,"I had to pay a bribe of ₹2000 to get my land documents processed in Rampur. Why should honest citizens have to pay extra just to get their rights? Despite multiple complaints, no action has been taken.",2023-04-24,2023-07-02,Rampur,UP18,Area 3,286393,"139, Colony Road, Area 3, Rampur, 286393",In Progress,,Low
4795,Electricity Issue,Voltage Fluctuation,"I live in Meerut, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? Even after assurances from the authorities, nothing has changed.",2014-04-05,2014-06-28,Meerut,UP07,Area 2,242450,"82, Main Street, Area 2, Meerut, 242450",Resolved,40.0,Low
4796,Crime,Robbery,Chain snatching is increasing in Muzaffarnagar. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Other residents in my locality are also facing similar issues.,2020-09-29,2020-12-13,Muzaffarnagar,UP19,Area 1,210315,"154, Main Street, Area 1, Muzaffarnagar, 210315",Pending,,Medium
4797,Road Maintenance,Road Safety Issues,"The main road connecting our village to Meerut city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. The situation is worsening each day, and we need urgent help.",2016-09-19,2016-12-28,Meerut,UP07,Area 5,286692,"181, Main Street, Area 5, Meerut, 286692",Pending,,Low
4798,Road Maintenance,Road Safety Issues,"The main road connecting our village to Basti city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. The local authorities visited once but didn't resolve the issue.",2024-06-01,2024-06-21,Basti,UP20,Area 3,290791,"199, Main Street, Area 3, Basti, 290791",Pending,,High
4799,Water Supply,Low Pressure,"I am a resident of Mathura, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. Other residents in my locality are also facing similar issues.",2015-12-29,2016-04-30,Mathura,UP17,Area 1,222136,"46, Main Street, Area 1, Mathura, 222136",Resolved,36.0,High
4800,Water Supply,Low Pressure,"I am a resident of Jhansi, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. People have started protesting due to this persistent problem.",2021-05-30,2021-09-09,Jhansi,UP09,Area 1,282865,"97, Bazaar Road, Area 1, Jhansi, 282865",Resolved,32.0,Medium
4801,Public Transport,Irregular Metro Services,"As a college student in Saharanpur, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. We demand an immediate resolution before things get worse.",2017-09-25,2018-03-23,Saharanpur,UP16,Area 5,281739,"180, Main Street, Area 5, Saharanpur, 281739",Pending,,High
4802,Water Supply,Contaminated Water,"I am a resident of Varanasi, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. Despite multiple complaints, no action has been taken.",2024-11-17,2025-01-05,Varanasi,UP03,Area 1,215476,"198, Colony Road, Area 1, Varanasi, 215476",In Progress,,High
4803,Corruption,Bribery,"In Moradabad, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Despite multiple complaints, no action has been taken.",2015-03-15,2015-06-17,Moradabad,UP13,Area 3,276673,"166, Main Street, Area 3, Moradabad, 276673",Pending,,High
4804,Crime,Chain Snatching,"Chain snatching is increasing in Varanasi. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. The situation is worsening each day, and we need urgent help.",2014-06-14,2014-11-25,Varanasi,UP03,Area 2,213777,"174, Colony Road, Area 2, Varanasi, 213777",Pending,,Low
4805,Corruption,Fraud in Public Distribution,"As a contractor in Moradabad, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! Despite multiple complaints, no action has been taken.",2023-06-18,2023-11-06,Moradabad,UP13,Area 5,277631,"169, Colony Road, Area 5, Moradabad, 277631",Resolved,36.0,Medium
4806,Water Supply,No Water Supply,"I am a resident of Aligarh, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. People have started protesting due to this persistent problem.",2017-11-08,2018-04-17,Aligarh,UP12,Area 5,256677,"107, Main Street, Area 5, Aligarh, 256677",In Progress,,Low
4807,Water Supply,Low Pressure,"We haven't had running water in Kanpur for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? The local news channel even covered this issue, yet no action.",2018-04-01,2018-08-21,Kanpur,UP02,Area 4,260730,"116, Bazaar Road, Area 4, Kanpur, 260730",Pending,,Low
4808,Electricity Issue,Meter Fault,"I live in Basti, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? This problem has been ongoing for months with no proper solution.",2024-02-06,2024-06-08,Basti,UP20,Area 5,297724,"179, Colony Road, Area 5, Basti, 297724",Pending,,Medium
4809,Road Maintenance,Potholes,"I commute daily in Jhansi, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! The situation is worsening each day, and we need urgent help.",2020-08-22,2020-11-22,Jhansi,UP09,Area 3,266932,"124, Bazaar Road, Area 3, Jhansi, 266932",Pending,,Low
4810,Water Supply,No Water Supply,We haven't had running water in Muzaffarnagar for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Other residents in my locality are also facing similar issues.,2018-01-30,2018-03-18,Muzaffarnagar,UP19,Area 2,267005,"173, Main Street, Area 2, Muzaffarnagar, 267005",In Progress,,High
4811,Road Maintenance,Blocked Drainage,"I commute daily in Muzaffarnagar, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! Even after assurances from the authorities, nothing has changed.",2023-06-24,2023-08-21,Muzaffarnagar,UP19,Area 3,283530,"117, Colony Road, Area 3, Muzaffarnagar, 283530",Pending,,High
4812,Electricity Issue,Power Outage,"In Allahabad, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. People have started protesting due to this persistent problem.",2018-06-13,2018-07-14,Allahabad,UP04,Area 4,215891,"23, Colony Road, Area 4, Allahabad, 215891",In Progress,,Low
4813,Corruption,Favoritism in Govt Services,I had to pay a bribe of ₹2000 to get my land documents processed in Bareilly. Why should honest citizens have to pay extra just to get their rights? Other residents in my locality are also facing similar issues.,2020-11-13,2021-03-28,Bareilly,UP08,Area 2,232431,"192, Main Street, Area 2, Bareilly, 232431",Pending,,Low
4814,Electricity Issue,Voltage Fluctuation,"As a shop owner in Ghaziabad, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. This problem has been ongoing for months with no proper solution.",2015-03-29,2015-09-01,Ghaziabad,UP11,Area 4,204858,"53, Main Street, Area 4, Ghaziabad, 204858",Resolved,59.0,Low
4815,Road Maintenance,Unfinished Roadwork,"As a taxi driver in Faizabad, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. Other residents in my locality are also facing similar issues.",2023-02-21,2023-04-09,Faizabad,UP14,Area 5,289025,"122, Bazaar Road, Area 5, Faizabad, 289025",In Progress,,High
4816,Crime,Theft,"Chain snatching is increasing in Noida. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Even after assurances from the authorities, nothing has changed.",2019-12-21,2020-02-15,Noida,UP10,Area 4,276921,"65, Colony Road, Area 4, Noida, 276921",In Progress,,High
4817,Electricity Issue,Power Outage,"As a shop owner in Gorakhpur, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. Children and elderly people are severely affected due to this issue.",2015-05-05,2015-06-03,Gorakhpur,UP05,Area 5,269746,"64, Main Street, Area 5, Gorakhpur, 269746",In Progress,,High
4818,Corruption,Bribery,"As a contractor in Moradabad, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! We demand an immediate resolution before things get worse.",2023-08-16,2023-08-26,Moradabad,UP13,Area 2,261345,"187, Colony Road, Area 2, Moradabad, 261345",Resolved,56.0,High
4819,Corruption,Fraud in Public Distribution,"As a contractor in Varanasi, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! The local authorities visited once but didn't resolve the issue.",2018-04-24,2018-04-24,Varanasi,UP03,Area 5,240500,"194, Main Street, Area 5, Varanasi, 240500",Pending,,High
4820,Road Maintenance,Road Safety Issues,"I commute daily in Aligarh, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! Other residents in my locality are also facing similar issues.",2018-02-15,2018-08-01,Aligarh,UP12,Area 3,209846,"156, Main Street, Area 3, Aligarh, 209846",Resolved,38.0,High
4821,Road Maintenance,Road Safety Issues,"I commute daily in Meerut, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! The situation is worsening each day, and we need urgent help.",2023-09-02,2023-12-17,Meerut,UP07,Area 1,232282,"152, Colony Road, Area 1, Meerut, 232282",Pending,,High
4822,Crime,Cyber Crime,"There have been multiple thefts in our colony in Varanasi in the last month. People are scared, and yet there is no police patrolling. We demand an immediate resolution before things get worse.",2024-06-23,2024-11-16,Varanasi,UP03,Area 3,260277,"176, Colony Road, Area 3, Varanasi, 260277",In Progress,,High
4823,Water Supply,No Water Supply,We haven't had running water in Varanasi for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Children and elderly people are severely affected due to this issue.,2016-06-20,2016-06-27,Varanasi,UP03,Area 4,267585,"195, Colony Road, Area 4, Varanasi, 267585",Resolved,37.0,Low
4824,Corruption,Bribery,"In Allahabad, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Even after assurances from the authorities, nothing has changed.",2023-08-22,2023-10-13,Allahabad,UP04,Area 5,225511,"165, Main Street, Area 5, Allahabad, 225511",Resolved,56.0,High
4825,Electricity Issue,Meter Fault,"As a shop owner in Aligarh, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. Despite multiple complaints, no action has been taken.",2022-10-31,2023-03-13,Aligarh,UP12,Area 1,204098,"178, Main Street, Area 1, Aligarh, 204098",Pending,,Low
4826,Corruption,Bribery,I had to pay a bribe of ₹2000 to get my land documents processed in Ghaziabad. Why should honest citizens have to pay extra just to get their rights? This problem has been ongoing for months with no proper solution.,2015-06-16,2015-10-13,Ghaziabad,UP11,Area 1,217214,"47, Colony Road, Area 1, Ghaziabad, 217214",Pending,,High
4827,Crime,Cyber Crime,"Cyber fraud is rampant in Lucknow. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. Despite multiple complaints, no action has been taken.",2020-07-07,2020-11-26,Lucknow,UP01,Area 3,257525,"116, Bazaar Road, Area 3, Lucknow, 257525",In Progress,,High
